Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
91,Entry short,2025-12-31 09:45,ORB short,25604.25,10,5120850,-5112.4,-0.10,12.4,2593.8,0.05,-5106.2,-0.10,190621.6,381.24,1
92,Exit short,2026-01-02 10:25,Exit,25472.5,10,5120800,26287.6,0.51,12.4,26293.8,0.51,-506.2,-0.01,216909.2,433.82,3
92,Entry short,2026-01-02 10:10,ORB short,25604,10,5120800,26287.6,0.51,12.4,26293.8,0.51,-506.2,-0.01,216909.2,433.82,3
93,Exit long,2026-01-06 10:55,Exit,25687.5,10,5142100,-4612.4,-0.09,12.4,13693.8,0.27,-4606.2,-0.09,212296.8,424.59,14
93,Entry long,2026-01-06 09:45,ORB long,25710.5,10,5142100,-4612.4,-0.09,12.4,13693.8,0.27,-4606.2,-0.09,212296.8,424.59,14
94,Exit long,2026-01-07 10:00,Exit,25837.75,10,5171550,-4012.4,-0.08,12.4,4443.8,0.09,-4006.2,-0.08,208284.4,416.57,3
94,Entry long,2026-01-07 09:45,ORB long,25857.75,10,5171550,-4012.4,-0.08,12.4,4443.8,0.09,-4006.2,-0.08,208284.4,416.57,3
95,Exit short,2026-01-08 10:20,Exit,25701,10,5120650,-19562.4,-0.38,12.4,6843.8,0.13,-19556.2,-0.38,188722,377.44,5
95,Entry short,2026-01-08 09:55,ORB short,25603.25,10,5120650,-19562.4,-0.38,12.4,6843.8,0.13,-19556.2,-0.38,188722,377.44,5
96,Exit long,2026-01-09 10:40,Exit,25804.5,10,5159950,937.6,0.02,12.4,15843.8,0.31,-356.2,-0.01,189659.6,379.32,4
96,Entry long,2026-01-09 10:20,ORB long,25799.75,10,5159950,937.6,0.02,12.4,15843.8,0.31,-356.2,-0.01,189659.6,379.32,4
97,Exit long,2026-01-12 10:30,Exit,25904.75,10,5178850,2087.6,0.04,12.4,7843.8,0.15,-5356.2,-0.10,191747.2,383.49,8
97,Entry long,2026-01-12 09:50,ORB long,25894.25,10,5178850,2087.6,0.04,12.4,7843.8,0.15,-5356.2,-0.10,191747.2,383.49,8
98,Exit short,2026-01-14 10:10,Exit,25617,10,5133450,10037.6,0.20,12.4,27343.8,0.53,-506.2,-0.01,201784.8,403.57,5
98,Entry short,2026-01-14 09:45,ORB short,25667.25,10,5133450,10037.6,0.20,12.4,27343.8,0.53,-506.2,-0.01,201784.8,403.57,5
99,Exit short,2026-01-15 10:20,Exit,25910.75,10,5175500,-6662.4,-0.13,12.4,4993.8,0.10,-6656.2,-0.13,195122.4,390.24,3
99,Entry short,2026-01-15 10:05,ORB short,25877.5,10,5175500,-6662.4,-0.13,12.4,4993.8,0.10,-6656.2,-0.13,195122.4,390.24,3
100,Exit short,2026-01-16 09:55,Exit,25759.75,10,5157100,5137.6,0.10,12.4,5143.8,0.10,-356.2,-0.01,200260,400.52,1
100,Entry short,2026-01-16 09:50,ORB short,25785.5,10,5157100,5137.6,0.10,12.4,5143.8,0.10,-356.2,-0.01,200260,400.52,1
